NUTS,Location,Year,Election Type,PS,PSD,PCP,CDS,BE,Abstention
Município,Póvoa de Lanhoso,2009,European,33.56,47.4,3.44,7.3,5.27,64.1
Município,Póvoa de Varzim,2009,European,23.17,42.85,5.59,13.85,10.36,66.7
Município,Proença-a-Nova,2009,European,26.78,51.85,2.13,8.43,5.91,55.6
Município,Redondo,2009,European,27.74,18.19,28.35,6.92,13.29,67
NUTS III,Região de Aveiro,2009,European,21.7,42.82,6.09,12.76,10.85,65.5
NUTS III,Região de Coimbra,2009,European,31.29,35.35,8.7,7.02,12.62,64.4
NUTS III,Região de Leiria,2009,European,21.4,44.7,6.31,10.7,11.15,63.3
Município,Reguengos de Monsaraz,2009,European,42.6,19.99,17.53,4.69,10.23,68.2
Município,Resende,2009,European,39.17,40.92,4.15,6.67,5.2,67.1
Município,Ribeira de Pena,2009,European,29.09,53.61,2.57,8.71,3.03,70.6
Município,Rio Maior,2009,European,25.5,41.1,6.16,11.15,10,62.3
Município,Sabrosa,2009,European,33.1,45.57,5.21,7.44,4.59,68.8
Município,Sabugal,2009,European,27.24,45.08,4.67,8.45,6.61,70.6
Município,Salvaterra de Magos,2009,European,31.51,19.87,16.29,6.59,19.18,71.3
Município,Santa Comba Dão,2009,European,30.51,47.27,2.99,6.82,9.46,64.7
Município,Santa Maria da Feira,2009,European,31.76,37,5.73,8.78,10.83,61.5
Município,Santa Marta de Penaguião,2009,European,38.52,39.42,4.83,6.29,7.72,69.4
Município,Santarém,2009,European,29.08,31.37,11.7,9.18,12.48,61.7
Município,Santiago do Cacém,2009,European,24.87,18.55,30.28,5.73,13.93,62.7
Município,Santo Tirso,2009,European,38.87,32.06,7.46,8.01,9.21,58.3
Município,São Brás de Alportel,2009,European,31.65,30.46,9.63,8.25,14.11,66
Município,São João da Madeira,2009,European,30.93,32.03,7.1,10.62,12.7,59.4
Município,São João da Pesqueira,2009,European,26.39,45.14,5.16,9.24,8.55,70.7
Município,São Pedro do Sul,2009,European,29.27,45.2,5.34,8.69,7.23,65
Município,Sardoal,2009,European,26.07,41.57,5.77,7.55,10.75,47.3
Município,Sátão,2009,European,20.65,50.91,2.66,14.13,7.69,71.3
Município,Seia,2009,European,35.08,37.54,7.25,7.53,8.39,63.2
Município,Seixal,2009,European,26.54,17.88,26.62,6.84,15.76,62.3
Município,Sernancelhe,2009,European,21.18,58.1,2.1,11.96,3.82,65.2
Município,Serpa,2009,European,22.76,12.02,50.42,3.13,7.27,62.9
Município,Sertã,2009,European,23.59,53.47,2.68,8.86,6.96,60.2
Município,Sesimbra,2009,European,26.19,19.53,23.13,7.78,16.42,63.6
Município,Setúbal,2009,European,24.85,20.83,21.2,9.04,17.22,63.9
Município,Sever do Vouga,2009,European,18.07,53.45,3.79,13.43,6.71,59.8
Município,Silves,2009,European,25.63,26.78,17.3,6.8,15.58,67.3
Município,Sines,2009,European,27.1,17.23,27.16,4.71,16.98,66.2
Município,Sintra,2009,European,29.1,24.44,13.45,9.3,15.92,63.2
Município,Sobral de Monte Agraço,2009,European,27.88,21.85,24.75,7.15,11.6,63.7
Município,Soure,2009,European,41.45,27.29,8.91,5.85,11.22,66.1
Município,Sousel,2009,European,28.28,30.25,24.77,5.74,6.38,58
Município,Tábua,2009,European,35.94,43.66,5.23,5.72,5.69,61.4
Município,Tabuaço,2009,European,22.98,45.54,3.21,18.09,6,67.2
NUTS III,Tâmega e Sousa,2009,European,33.92,41.5,5.54,8,6.86,66
Município,Tarouca,2009,European,25.97,44.97,5.78,13.47,6.11,69.3
Município,Tavira,2009,European,29.52,33.58,8.23,7.86,14.15,69.8
Município,Terras de Bouro,2009,European,24.32,54.35,5.39,7.85,4.47,63.2
NUTS III,Terras de Trás-os-Montes,2009,European,24.88,49.23,4.56,10.4,7.25,70.2
Município,Tomar,2009,European,26.19,35.24,8.47,8.75,14.73,60.9
Município,Tondela,2009,European,21.6,51.99,4.22,10.61,7.89,64.2
Município,Torre de Moncorvo,2009,European,33.4,43.97,4.15,9.28,5.31,67.4
Município,Torres Novas,2009,European,27.75,28.21,13.27,7.01,17.81,59.6
Município,Torres Vedras,2009,European,29.3,32.78,11.6,7.93,11.47,62.3
Município,Trancoso,2009,European,22.76,54.37,3.36,9.15,6.03,65
Município,Trofa,2009,European,31.17,39.35,6.08,10.82,7.87,59
Município,Vagos,2009,European,9.4,61.41,2.27,16.49,5.75,68.7
Município,Vale de Cambra,2009,European,22.8,38.87,4.53,17.31,9.41,59.1
Município,Valença,2009,European,27.48,44.95,6.06,9.4,8.12,70.1
Município,Valongo,2009,European,34.66,29.76,10.28,7.4,12.55,59.3
Município,Valpaços,2009,European,19.94,63.08,2.29,8.3,3.95,73.6
Município,Vendas Novas,2009,European,19.47,19.38,39.95,5.87,9.86,57.1
Município,Viana do Alentejo,2009,European,24.75,15.11,41.02,2.96,10.52,63.6
Município,Viana do Castelo,2009,European,27.11,33.57,10.41,10.41,13.81,64.4
Município,Vidigueira,2009,European,29.72,13.39,36.92,3.8,10.14,61.2
Município,Vieira do Minho,2009,European,32.47,48.6,3.28,5.76,5.8,66.4
Município,Vila de Rei,2009,European,10.61,65.19,3.49,10.61,5.12,43.6
Município,Vila do Bispo,2009,European,36.06,25.91,10,4.16,15.26,64.8
Município,Vila do Conde,2009,European,38.82,33.07,6.48,7.73,9.73,60
Município,Vila Flor,2009,European,27.56,43.45,6.28,11.54,7.27,65.9
